"","pf_rol","pf_ss","pf_movement","pf_religion","pf_association","pf_expression","pf_identity","ef_government","ef_legal","ef_money","ef_trade","ef_regulation"
"Albania",0.11297130871186,0.516573675052531,-0.362023083435443,1.03472516162477,1.14199962920249,0.567519355102235,-0.235117606749291,1.18576035083146,-0.0930844946929614,0.938434818000702,1.01424319548277,-0.106319647363684
"Algeria",-0.789592074364595,-0.0191418081653142,-0.966638955069109,-1.47838563261192,-0.771918131700293,-0.190747163679951,-1.98850882433882,-2.3410591369617,-0.341759226055549,-0.707550403076079,-2.45034693199517,-1.69724144253763
"Angola",-1.01505251344232,0.159200490637876,-0.966638955069109,0.794567394527207,-1.15470168388085,-0.764968411267287,0.169511135746468,0.0107376336150039,-1.46881473777286,-1.88654628492488,-1.48608904100482,-1.45489107521123
"Argentina",0.390719406266238,0.680585174319337,0.847208659469119,0.208415910004525,0.1850407487511,0.648499274625854,0.978768620737987,-0.92889305595636,-0.855142714023295,-1.88101333855878,-2.57279607899462,-1.60008453801603
"Armenia",-0.0639298344401234,0.533242767330118,-0.362023083435443,-0.722633681604469,-0.197742803429457,-0.330621569961186,0.331362632744772,0.424459392280234,0.388120077331837,0.915734036450833,0.953510572418838,0.351331443726707
"Australia",1.63617815336404,1.26591062186846,0.847208659469119,0.965701715604632,1.14199962920249,1.05339887224395,0.735991375240531,0.0495218039485176,1.76491075607562,0.866063354766686,0.430992314180298,1.40759262123808
"Austria",1.87863180024351,1.29306798785066,0.847208659469119,0.284889505381938,1.14199962920249,1.01658981763395,0.978768620737987,-1.14102022410797,1.7629323723537,0.851956169837932,0.922568646679382,0.344790138363384
"Azerbaijan",-0.512913323776146,0.418769073168572,-0.966638955069109,-1.17292949476449,-1.53748523606141,-1.84339415457677,-0.235117606749291,-1.06821487970762,0.28600444531564,-0.521754408935777,0.168092071637102,-0.13742263672333
"Bahamas",0.792897562552798,-2.1565068734539,0.847208659469119,0.292997021415801,0.167638583953201,0.74604326841478,0.978768620737987,1.46821872622959,0.942080168196645,-0.967921854171747,-0.281625987217582,1.11969420592895
"Bahrain",0.486082145737625,-0.0450625686188126,-0.362023083435443,0.0105486983167861,-0.771918131700293,-2.20052152930804,-1.1792513393473,1.49764618196204,0.0333753198996323,0.831575079457086,0.326477210050048,0.387967019378789
