"uid","user","location","message","likes","n_of_message","time"
"2141757416","枝干树叶","江苏","千年流浪，尽显民族智慧
四次补档，展现流浪原因",1792,5,2025-06-19 11:16:06
"12325701","卡格瓦的信徒","广西","超越稣哥了，稣哥当年也就被举报了一次",337,7,2025-06-18 18:12:54
"22196378","私念的滋味","福建","流浪千年的智慧不是简简单单几句话就能说明白的。到哪都被人讨厌也不是简简单单就能描述的。",391,13,2025-06-18 20:32:17
"35455849","徐曹全mk1","黑龙江","四补了？到底谁在举报啊[热]这么锲而不舍",131,7,2025-06-18 18:17:58
"8379566","tyerx","广东","从九十年代接触“圣经”以来，我一直都将之评价为“不如《西游记》”的神魔小说，这个评价我当面跟好几个天主教神甫说过[吃瓜]",146,9,2025-06-19 17:45:11
"359051396","B金发と花臂Q","天津","别闹，孙笑窜没这么坏[doge]",657,3,2025-06-19 11:06:16
"164535794","爱吃零食的小白h","广东","所以从头到尾都只是在嘲讽极右，也没解释为啥啊?是默认了犹太人就是优越种族，就是比其他人更优越，更容易进入上层社会?[疑惑]",27,1,2025-06-20 07:38:56
"2701969","如是麋角解","陕西","和傅首尔长相一个道理：“为什么叫别人傅首尔长相会是贬义，而吴彦祖长相就不会呢？”[doge]",518,4,2025-06-19 17:28:05
"3546560270960894","以神皇之名1","北京","因为侮辱孙笑川，所以被删除3次吗？[笑哭]",1078,6,2025-06-18 23:44:20
"551456766","墨奕moyi丶","福建","领狗粮的还是多啊",138,1,2025-06-19 00:58:14
"247927064","猫郎伯源","山东","原来up只是讽刺右翼吗，那别的视频为什么不补档，说反犹太意识的被补档，这是个问题",15,0,2025-06-20 17:27:56
"23779887","转晕的华尔兹","四川","那为什么这些白人们还要信仰一个不把他们当选民的上帝？",26,4,2025-06-19 04:02:21
"146060294","a_chatjbt","天津","教友发力了",105,2,2025-06-19 14:54:30
"34148341","穿上马甲就算鳖","江苏","“珍惜和维护来之不易的和平与正义，防止类似的悲剧再次发生。”
看到这句话时，我笑出了声。",330,13,2025-06-19 13:17:09
"7380885","幻夜月影","湖南","好家伙，看到这些meme梗图，我才意识到欧美网络巨魔起来也一点都不含糊的[笑哭]",84,1,2025-06-19 17:47:39
"15001149","芥末绘溪","江苏","孙笑川 罪不至此。[doge]",140,0,2025-06-19 10:16:13
"1911152608","里森堡经济合作委员会","北京","500多个粉丝，这个视频居然能四补，逆天了",104,2,2025-06-19 19:20:10
"10090929","Guajava","江苏","啊啊啊谁懂这种点开三补视频g了再点开主页看见四补的救赎感",1009,5,2025-06-18 18:11:46
"6263858","我是黄晨宇","福建","现在是大多数跨国大企业ceo都是印度人，印度人好聪明啊，我们要学习他[doge]",48,0,2025-06-18 23:56:36
"503159952","鸽不灵举人","湖北","头一次见到标题和评论区都逆天，但是视频内容客观的视频",995,4,2025-06-19 10:59:28
"1468138326","血艳冰魂","福建","我是大善人，我不能亲自动手，这时候我发现一个快死的流浪汉，我把他养壮，我看一伙人不爽，就把流浪汉派到这伙人身边恶心他们，大家都指责流浪汉，我这个大善人名字也保住了",29,1,2025-06-19 13:49:09
"21357382","殘笑","泰国","[歪嘴]被渗透了[doge]",299,3,2025-06-18 23:45:45
"7131593","吃个瓜瓜呱呱呱","吉林","【犹太人都做了哪些坏事？-哔哩哔哩】 https://b23.tv/YpFVgaV",12,0,2025-06-19 07:16:47
"277289224","Ajima-Ryoma","加拿大","看完之后只能说四次补档和视屏内容相映成趣，引人发笑",842,6,2025-06-19 04:21:40
"5797747","低压菠萝","吉林","（补档）谁举办的？",61,10,2025-06-18 18:03:50
