"root","dialog","uid","user","message","location","time"
266038811744,266040016544,"5565816","小小小菜鸟","你做了什么伤害他们的事情吗？ 我？我只是把他们做的事情复述了一遍啊？ 那伤害性确实拉满了","IP属地：四川",2025-06-19 11:32:18
266038811744,266040016544,"1220870357","泉涌日曜","回复 @小小小菜鸟 : 谎言不会伤人，真相才是快刀","IP属地：四川",2025-06-19 15:57:59
266038811744,265014263041,"191338466","我的六枚硬币啊QAQ","流浪千年的智慧，但是别问为什么流浪","IP属地：河北",2025-06-19 18:49:43
266038811744,265023888545,"3267884","Buxiaoday","惊世的民族智慧","IP属地：陕西",2025-06-19 20:32:57
266038811744,265042759777,"2421295","Mozhiwei96","+1","IP属地：广东",2025-06-20 00:08:51
265978360368,264934177057,"437091565","-大长佬-","稣哥：怎么我是删号呢","IP属地：重庆",2025-06-18 20:49:47
265978360368,266005949136,"398205836","二律僭主ノア","稣哥可比up惨多了吧？人家直接连线下的号都被销了[笑哭]","IP属地：广西",2025-06-18 23:06:05
265978360368,266017699552,"431306600","神奇的犹格泡泡","难绷","IP属地：广东",2025-06-19 01:49:02
265978360368,266039113712,"3546897723689823","年迈的科多兽","一次不够还想拉出来扁食是吧[doge]","IP属地：北京",2025-06-19 11:23:04
265978360368,266048739728,"108867413","谨厉","与其说是犹太人招人恨不如说是资本家犹太复国主义者招人恨，这样更严谨一些","IP属地：山东",2025-06-19 13:09:11
265978360368,266048739728,"358070167","奥菲利娅-法姆索罗涅","回复 @谨厉 :但实际上，复国主义者并不只有资本家😅也不只有bibi这种政治家，有的是屁民信这一套","IP属地：山东",2025-06-19 19:27:04
265978360368,266120469264,"348404933","LiMe-in-blues","我酥哥怎么被销号了呢[汤圆]","IP属地：河北",2025-06-20 08:40:31
